# Q2	x	y	sigma_r		err
2.500000000000000000e+00 3.000000000000000076e-05 8.240707777909628273e-01 1.142299999999999982e-01 1.924816265408032384e-02
2.500000000000000000e+00 6.999999999999999387e-05 3.531731904818412593e-01 1.105399999999999994e-01 1.335314065686192021e-02
2.500000000000000000e+00 1.299999999999999886e-04 1.901701794902222464e-01 9.110999999999999654e-02 1.121971335505579648e-02
2.500000000000000000e+00 1.800000000000000113e-04 1.373451296318271564e-01 9.169800000000000173e-02 1.181476076098476012e-02
2.500000000000000000e+00 3.499999999999999964e-04 7.063463809636824631e-02 5.436799999999999966e-02 6.499993999658074985e-03
5.000000000000000000e+00 6.999999999999999387e-05 7.063463809636825186e-01 1.532100000000000128e-01 2.624472923845065989e-02
5.000000000000000000e+00 1.800000000000000113e-04 2.746902592636543128e-01 1.538499999999999868e-01 1.543704561357554447e-02
5.000000000000000000e+00 3.499999999999999964e-04 1.412692761927364926e-01 1.164199999999999957e-01 1.088267357290167124e-02
5.000000000000000000e+00 1.000000000000000021e-03 4.944424666745777380e-02 7.763000000000000456e-02 8.832657111894019059e-03
7.000000000000000000e+00 1.299999999999999886e-04 5.324765025726222456e-01 2.248600000000000043e-01 1.939239679208042133e-02
7.000000000000000000e+00 1.800000000000000113e-04 3.845663629691160046e-01 2.023099999999999898e-01 2.312805933443071518e-02
7.000000000000000000e+00 2.999999999999999737e-04 2.307398177814696527e-01 1.766900000000000137e-01 1.127716459424838412e-02
7.000000000000000000e+00 5.000000000000000104e-04 1.384438906688817694e-01 1.615800000000000014e-01 9.745052317689597426e-03
7.000000000000000000e+00 8.000000000000000383e-04 8.652743166805110242e-02 1.199400000000000049e-01 9.401781574354999005e-03
7.000000000000000000e+00 1.600000000000000077e-03 4.326371583402555121e-02 9.022700000000000164e-02 6.963311832737560138e-03
1.200000000000000000e+01 2.200000000000000078e-04 5.393917818268121334e-01 3.161300000000000221e-01 2.541167774636412385e-02
1.200000000000000000e+01 3.200000000000000262e-04 3.708318500059332723e-01 2.904100000000000015e-01 2.068677535265473974e-02
1.200000000000000000e+01 5.000000000000000104e-04 2.373323840037973309e-01 2.409799999999999998e-01 1.282619194168264747e-02
1.200000000000000000e+01 8.000000000000000383e-04 1.483327400023733145e-01 1.813400000000000012e-01 9.310569069204931159e-03
1.200000000000000000e+01 1.500000000000000031e-03 7.911079466793242976e-02 1.476099999999999912e-01 9.155596638032581849e-03
1.200000000000000000e+01 3.000000000000000062e-03 3.955539733396621488e-02 1.010299999999999948e-01 7.918321827348076200e-03
1.800000000000000000e+01 3.499999999999999964e-04 5.085693942938513956e-01 3.197699999999999987e-01 2.577199732449997338e-02
1.800000000000000000e+01 5.000000000000000104e-04 3.559985760056960102e-01 2.904900000000000260e-01 2.041027879976486589e-02
1.800000000000000000e+01 8.000000000000000383e-04 2.224991100035599578e-01 2.553900000000000059e-01 1.253360036371265786e-02
1.800000000000000000e+01 1.350000000000000071e-03 1.318513244465540635e-01 2.016300000000000037e-01 9.406079328864226999e-03
1.800000000000000000e+01 2.500000000000000052e-03 7.119971520113919927e-02 1.630000000000000060e-01 7.719628561557933047e-03
1.800000000000000000e+01 4.499999999999999660e-03 3.955539733396622182e-02 1.136699999999999933e-01 9.893330094249841097e-03
3.200000000000000000e+01 5.999999999999999474e-04 5.274052977862163649e-01 3.884600000000000275e-01 5.389963874266492927e-02
3.200000000000000000e+01 8.000000000000000383e-04 3.955539733396621349e-01 3.755700000000000149e-01 1.937420990475869839e-02
3.200000000000000000e+01 1.399999999999999986e-03 2.260308419083784104e-01 2.807000000000000051e-01 1.145829666634363975e-02
3.200000000000000000e+01 2.399999999999999790e-03 1.318513244465540912e-01 2.189699999999999980e-01 1.029848550818678217e-02
3.200000000000000000e+01 3.200000000000000153e-03 9.888849333491553373e-02 2.014900000000000024e-01 1.336714977614108894e-02
3.200000000000000000e+01 5.499999999999999681e-03 5.753512339485995081e-02 1.553400000000000059e-01 1.023933860526920515e-02
3.200000000000000000e+01 8.000000000000000167e-03 3.955539733396622182e-02 9.402599999999999847e-02 1.115361387545054685e-02
