#Q2	x	y	sigmar	total error	StatErr	Uncor	tot_noproc %
6.0000E01	8.0000E-04	7.4111E-01	1.4831E00	0.03578023243	1.0121E00	1.8397E00	2.41253E00
9.0000E01	1.3000E-03	6.8410E-01	1.4660E00	0.0314074374	8.1667E-01	1.6348E00	2.14239E00
9.0000E01	1.5000E-03	5.9289E-01	1.4219E00	0.03081982469	1.1978E00	1.0996E00	2.16751E00
9.0000E01	2.0000E-03	4.4466E-01	1.2700E00	0.063070613	3.4101E00	3.3002E00	4.96619E00
1.2000E02	1.6000E-03	7.4111E-01	1.4388E00	0.03212466312	9.2208E-01	1.7087E00	2.23274E00
1.2000E02	2.0000E-03	5.9289E-01	1.3558E00	0.02256078316	7.0053E-01	9.1241E-01	1.66402E00
1.2000E02	3.2000E-03	3.7055E-01	1.2184E00	0.02163975872	9.6021E-01	1.0822E00	1.77608E00
1.5000E02	2.0000E-03	7.4111E-01	1.3552E00	0.03133723824	1.0345E00	1.7674E00	2.31237E00
1.5000E02	3.2000E-03	4.6319E-01	1.2286E00	0.018281568	5.9295E-01	8.4533E-01	1.48800E00
1.5000E02	5.0000E-03	2.9644E-01	1.1088E00	0.0187115544	7.1411E-01	1.1280E00	1.68755E00
1.5000E02	8.0000E-03	1.8528E-01	9.5164E-01	0.021495929812	9.7494E-01	1.7186E00	2.25883E00
1.5000E02	1.3000E-02	1.1402E-01	8.0578E-01	0.028199721504	1.3772E00	2.9797E00	3.49968E00
2.0000E02	2.6000E-03	7.6011E-01	1.2836E00	0.0320938508	1.3036E00	1.8535E00	2.50030E00
2.0000E02	3.2000E-03	6.1759E-01	1.2495E00	0.0218002764	1.0801E00	8.3530E-01	1.74472E00
2.0000E02	5.0000E-03	3.9526E-01	1.1112E00	0.01421924856	5.9126E-01	5.3135E-01	1.27963E00
2.0000E02	8.0000E-03	2.4704E-01	9.4415E-01	0.0127063707	5.9863E-01	6.5747E-01	1.34580E00
2.0000E02	1.3000E-02	1.5202E-01	7.9922E-01	0.010234331788	5.9466E-01	5.4231E-01	1.28054E00
2.0000E02	2.0000E-02	9.8814E-02	6.9621E-01	0.009421670688	6.7452E-01	6.1518E-01	1.35328E00
2.0000E02	3.2000E-02	6.1759E-02	5.7972E-01	0.008504028624	7.3555E-01	6.8154E-01	1.46692E00
2.0000E02	5.0000E-02	3.9526E-02	5.1327E-01	0.00766466091	8.0528E-01	7.3528E-01	1.49330E00
2.0000E02	8.0000E-02	2.4704E-02	4.3830E-01	0.00691974891	7.6632E-01	7.3509E-01	1.57877E00
2.0000E02	1.3000E-01	1.5202E-02	3.6412E-01	0.010790477728	1.6682E00	2.1499E00	2.96344E00
2.0000E02	1.8000E-01	1.0979E-02	3.2897E-01	0.00592738146	1.0793E00	7.6724E-01	1.80180E00
2.5000E02	3.3000E-03	7.4859E-01	1.2701E00	0.03295566573	1.4874E00	1.8444E00	2.59473E00
2.5000E02	5.0000E-03	4.9407E-01	1.1238E00	0.0175627464	8.8026E-01	7.8407E-01	1.56280E00
2.5000E02	8.0000E-03	3.0879E-01	9.6093E-01	0.012714160923	6.6269E-01	5.5588E-01	1.32311E00
2.5000E02	1.3000E-02	1.9003E-01	8.1748E-01	0.010948673136	6.8635E-01	5.4040E-01	1.33932E00
2.5000E02	2.0000E-02	1.2352E-01	6.9030E-01	0.00971355645	7.5499E-01	6.3433E-01	1.40715E00
2.5000E02	3.2000E-02	7.7199E-02	5.8859E-01	0.008605068082	7.7805E-01	6.7036E-01	1.46198E00
2.5000E02	5.0000E-02	4.9407E-02	5.0803E-01	0.007414748653	8.2531E-01	6.0335E-01	1.45951E00
2.5000E02	8.0000E-02	3.0879E-02	4.3120E-01	0.00635058424	7.7823E-01	5.6667E-01	1.47277E00
2.5000E02	1.3000E-01	1.9003E-02	3.7135E-01	0.008613946005	1.2311E00	1.6608E00	2.31963E00
2.5000E02	1.8000E-01	1.3724E-02	3.2754E-01	0.005924117718	1.0703E00	8.1315E-01	1.80867E00
2.5000E02	2.5000E-01	9.8814E-03	2.3527E-01	0.02682078	7.3335E00	8.5977E00	1.14000E01
2.5000E02	4.0000E-01	6.1759E-03	1.4096E-01	0.01622675136	9.2018E00	6.8001E00	1.15116E01
3.0000E02	3.9000E-03	7.6011E-01	1.2157E00	0.03298777636	1.7109E00	1.8254E00	2.71348E00
3.0000E02	5.0000E-03	5.9289E-01	1.1566E00	0.0234581612	1.4908E00	8.8757E-01	2.02820E00
3.0000E02	8.0000E-03	3.7055E-01	9.8719E-01	0.013963111517	7.9262E-01	5.3733E-01	1.41443E00
3.0000E02	1.3000E-02	2.2803E-01	8.2711E-01	0.011495836468	7.5080E-01	5.5140E-01	1.38988E00
3.0000E02	2.0000E-02	1.4822E-01	7.1235E-01	0.009925671195	8.3881E-01	5.0159E-01	1.39337E00
3.0000E02	3.2000E-02	9.2638E-02	6.0799E-01	0.008806613552	8.6548E-01	5.7746E-01	1.44848E00
3.0000E02	5.0000E-02	5.9289E-02	5.1723E-01	0.00765241785	8.9524E-01	5.7224E-01	1.47950E00
3.0000E02	8.0000E-02	3.7055E-02	4.3642E-01	0.006409875108	8.8167E-01	5.9463E-01	1.46874E00
3.0000E02	1.3000E-01	2.2803E-02	3.6568E-01	0.00907745748	1.3639E00	1.7827E00	2.48235E00
3.0000E02	1.8000E-01	1.6469E-02	3.1448E-01	0.0059114378	1.1230E00	6.8068E-01	1.87975E00
3.0000E02	2.5000E-01	1.1858E-02	2.9312E-01	0.03423172608	6.7057E00	9.3947E00	1.16784E01
3.0000E02	4.0000E-01	7.4111E-03	1.5709E-01	0.006726499546	2.1716E00	3.2849E00	4.28194E00
4.0000E02	5.3000E-03	7.4577E-01	1.1528E00	0.03232428144	1.8538E00	1.8340E00	2.80398E00
4.0000E02	8.0000E-03	4.9407E-01	1.0323E00	0.01595749986	9.3169E-01	4.6640E-01	1.54582E00
4.0000E02	1.3000E-02	3.0404E-01	8.6568E-01	0.01284842256	9.3437E-01	5.4394E-01	1.48420E00
4.0000E02	2.0000E-02	1.9763E-01	7.1222E-01	0.01146745422	1.0096E00	7.1926E-01	1.61010E00
4.0000E02	3.2000E-02	1.2352E-01	6.0799E-01	0.009420014663	9.9053E-01	6.3256E-01	1.54937E00
4.0000E02	5.0000E-02	7.9051E-02	5.1927E-01	0.007989747855	9.9477E-01	5.7166E-01	1.53865E00
4.0000E02	8.0000E-02	4.9407E-02	4.3146E-01	0.006822979002	1.0816E00	5.4019E-01	1.58137E00
4.0000E02	1.3000E-01	3.0404E-02	3.6709E-01	0.006227424887	1.1433E00	6.1017E-01	1.69643E00
4.0000E02	1.8000E-01	2.1959E-02	3.2088E-01	0.010853188416	1.9386E00	2.4387E00	3.38232E00
4.0000E02	2.5000E-01	1.5810E-02	2.6418E-01	0.006469187004	1.8112E00	8.2269E-01	2.44878E00
4.0000E02	4.0000E-01	9.8814E-03	1.5657E-01	0.00673360599	2.5120E00	3.0012E00	4.30070E00
5.0000E02	6.6000E-03	7.4859E-01	1.0587E00	0.03076889223	2.0457E00	1.7880E00	2.90629E00
5.0000E02	8.0000E-03	6.1759E-01	1.0065E00	0.02496995655	2.0573E00	9.3475E-01	2.48087E00
5.0000E02	1.3000E-02	3.8005E-01	8.9862E-01	0.017857556364	1.4648E00	8.7898E-01	1.98722E00
5.0000E02	2.0000E-02	2.4704E-01	7.3144E-01	0.015264640792	1.4590E00	1.0735E00	2.08693E00
5.0000E02	3.2000E-02	1.5440E-01	6.2977E-01	0.013006576833	1.4887E00	9.9447E-01	2.06529E00
5.0000E02	5.0000E-02	9.8814E-02	5.5070E-01	0.0118615273	1.5707E00	1.0564E00	2.15390E00
5.0000E02	8.0000E-02	6.1759E-02	4.3243E-01	0.010057586669	1.7817E00	1.0556E00	2.32583E00
5.0000E02	1.3000E-01	3.8005E-02	3.7705E-01	0.009933570775	2.0566E00	1.2651E00	2.63455E00
5.0000E02	1.8000E-01	2.7448E-02	3.3842E-01	0.010253855264	2.2099E00	1.7635E00	3.02992E00
5.0000E02	2.5000E-01	1.9763E-02	2.6715E-01	0.010191532065	2.6061E00	2.4142E00	3.81491E00
5.0000E02	4.0000E-01	1.2352E-02	1.4869E-01	0.02868914074	1.4880E01	1.1983E01	1.92946E01
5.0000E02	6.5000E-01	7.6011E-03	2.7157E-02	0.005956833636	1.9179E01	1.0501E01	2.19348E01
6.5000E02	8.5000E-03	7.5564E-01	9.8713E-01	0.028322437821	2.1947E00	1.5391E00	2.86917E00
6.5000E02	1.3000E-02	4.9407E-01	9.0475E-01	0.013863393775	1.0494E00	3.9689E-01	1.53229E00
6.5000E02	2.0000E-02	3.2115E-01	7.7797E-01	0.012598523977	1.2008E00	4.2782E-01	1.61941E00
6.5000E02	3.2000E-02	2.0072E-01	6.2508E-01	0.011005721052	1.3218E00	5.5005E-01	1.76069E00
6.5000E02	5.0000E-02	1.2846E-01	5.3435E-01	0.009221651995	1.3135E00	5.2085E-01	1.72577E00
6.5000E02	8.0000E-02	8.0287E-02	4.3531E-01	0.008296616821	1.4526E00	7.0553E-01	1.90591E00
6.5000E02	1.3000E-01	4.9407E-02	3.6181E-01	0.007413993434	1.5936E00	7.7465E-01	2.04914E00
6.5000E02	1.8000E-01	3.5683E-02	3.3341E-01	0.010452536864	2.4872E00	1.5963E00	3.13504E00
6.5000E02	2.5000E-01	2.5692E-02	2.5646E-01	0.006344256188	1.8577E00	1.0026E00	2.47378E00
6.5000E02	4.0000E-01	1.6057E-02	1.2565E-01	0.007551276005	4.7515E00	3.3307E00	6.00977E00
8.0000E02	1.0500E-02	7.5287E-01	9.6275E-01	0.033120429225	2.7016E00	1.8689E00	3.44019E00
8.0000E02	1.3000E-02	6.0809E-01	8.8824E-01	0.016567274832	1.4539E00	3.6199E-01	1.86518E00
8.0000E02	2.0000E-02	3.9526E-01	7.5247E-01	0.013644689004	1.4225E00	5.1719E-01	1.81332E00
8.0000E02	3.2000E-02	2.4704E-01	6.4142E-01	0.011842088466	1.4536E00	5.4224E-01	1.84623E00
8.0000E02	5.0000E-02	1.5810E-01	5.4669E-01	0.009788867133	1.4201E00	4.2033E-01	1.79057E00
8.0000E02	8.0000E-02	9.8814E-02	4.5181E-01	0.008780430359	1.5628E00	4.7892E-01	1.94339E00
8.0000E02	1.3000E-01	6.0809E-02	3.7330E-01	0.00790712861	1.7999E00	4.9315E-01	2.11817E00
