#Q2   x   y   Sigma   stat   uncor   sys1   sys2   sys3   sys4   sys5   sys6   sys7   sys8   sys9   sys10   sys11   sys12   sys13   sys14   sys15   sys16   sys17   sys18   sys19   sys20   sys21   sys22   sys23   sys24   sys25   sys26   sys27   sys28   sys29   sys30   sys31   sys32   sys33   sys34   sys35   sys36   sys37   sys38   sys39   sys40   sys41   sys42   sys43   sys44   sys45   sys46   sys47   sys48   sys49   sys50   sys51   sys52   sys53   sys54   sys55   sys56   sys57   sys58   sys59   sys60   sys61   sys62   sys63   sys64   sys65   sys66   sys67   sys68   sys69   sys70   sys71   sys72   sys73   sys74   sys75   sys76   sys77   sys78   sys79   sys80   sys81   sys82   sys83   sys84   sys85   sys86   sys87   sys88   sys89   sys90   sys91   sys92   sys93   sys94   sys95   sys96   sys97   sys98   sys99   sys100   sys101   sys102   sys103   sys104   sys105   sys106   sys107   sys108   sys109   sys110   sys111   sys112   sys113   sys114   sys115   sys116   sys117   sys118   sys119   sys120   sys121   sys122 #  sys123   sys124   sys125   sys126   sys127   sys128   sys129   sys130   sys131   sys132   sys133   sys134   sys135   sys136   sys137   sys138   sys139   sys140   sys141   sys142   sys143   sys144   sys145   sys146   sys147   sys148   sys149   sys150   sys151   sys152   sys153   sys154   sys155   sys156   sys157   sys158   sys159   sys160   sys161   sys162   tot_noproc   delta_rel   delta_1   delta_2   delta_3   delta_4   delta_gp   delta_had 

2.00000  0.00005  0.85185  0.73269  4.47740  4.30640  0.14900  0.29400  -0.74700  -0.21100  0.57900  -0.22700  -0.00100  -0.01000  0.00100  0.01200  -0.03600  -0.04000  0.00400  -0.02200  -0.01000  -0.03800  0.02300  -0.28400  0.05700  0.00900  -0.01800  -0.00500  0.10100  -0.01500  -0.04100  0.87200  0.76000  -0.50000  0.61300  -0.35800  -1.58600  -0.35400  -0.14100  0.18000  0.13200  0.02700  0.03100  0.20800  0.20400  -0.02600  -0.47200  -0.12000  -0.03800  -0.07300  -0.05000  0.03300  -0.02700  0.01100  -0.02700  0.07400  -0.00000  0.06300  -0.20400  -0.00100  -0.17000  -0.08600  0.02900  0.06300  0.07500  -0.02700  -0.00500  -0.00400  -0.00800  0.03400  -0.02000  0.05100  -0.02700  0.03200  -0.01200  0.00600  0.01000  -0.03500  -0.02500  0.01500  -0.04600  0.01900  0.02200  0.01200  -0.03000  -0.02100  -0.01000  -0.07800  -0.08700  -0.00400  -0.02200  0.06800  -0.15000  0.04000  0.06000  -0.03500  0.04100  0.07000  0.28400  0.01600  -0.00100  0.17500  -0.05400  -0.41500  0.60000  -0.35500  -0.09300  0.02800  0.07300  -0.06100  -0.46300  -0.04900  0.02000  0.06700  0.04700  -0.13700  -0.11200  0.04000  0.03500  0.13900  0.22700  0.04600  -0.00100  -0.00800  0.02600  -0.00100  0.00200  0.01800  0.00900  -0.13200  -0.03600  -0.00100  -0.05900  -0.04200  -0.07100  0.16600  -0.10300  -0.03900  -0.04800  0.05500  -0.11800  0.10800  -0.03000  -0.02300  0.00200  0.01100  -0.00100  -0.00900  0.00200  0.06300  0.00200  0.01400  -0.17700  0.08800  -0.05600  0.15400  -0.00200  0.10900  -0.06500  0.11400  -0.08800  0.06300  -0.03000  0.35000  -0.00000  0.15800  -0.01700  -0.01000  6.82515  1.48494  -0.08871  -6.24957  0.07097  0.58005  -0.25861  -0.65666
2.00000  0.00005  0.75144  0.73679  4.52540  3.92790  0.14900  0.29400  -0.74800  -0.21100  0.58000  -0.22700  0.00000  -0.00400  -0.00700  -0.07900  -0.04800  -0.03200  -0.00100  -0.01800  -0.00200  -0.02000  0.02300  -0.13700  0.02600  0.00600  -0.00600  0.01700  0.03500  0.00700  -0.01000  0.22100  0.20200  -0.15800  0.20600  -0.14500  -0.68200  -0.14900  -0.07300  0.08400  0.06700  0.00300  0.00700  0.10200  0.09100  0.00700  -0.20900  0.00400  -0.01400  -0.05500  -0.03900  0.03200  -0.00600  0.01800  -0.01200  0.04900  0.00400  0.02400  -0.07500  0.01000  -0.03600  -0.04200  -0.00100  0.01700  0.02800  -0.03200  -0.01500  -0.00900  0.00600  0.02200  0.03100  0.07200  0.03100  -0.02800  -0.03200  -0.01500  -0.02000  -0.02800  0.00500  0.05100  0.01200  0.02100  -0.02300  0.01600  -0.03200  -0.03900  0.06200  0.06300  -0.09600  -0.03800  -0.17100  -0.09700  -0.04600  0.05100  0.09200  -0.04600  0.00400  -0.00500  0.11600  0.01800  -0.01500  0.13500  -0.05100  -0.42900  0.65200  -0.29100  -0.10400  -0.01000  0.15500  -0.09800  -0.59300  -0.03700  0.00500  0.02000  0.04100  -0.12000  -0.15200  0.04500  0.03800  0.15100  0.22600  0.05800  -0.00400  -0.00800  0.02800  -0.00000  0.00200  0.01600  0.01400  -0.12900  -0.03500  0.00400  -0.06000  -0.03800  -0.06800  0.14200  -0.09800  -0.04200  -0.06500  0.06300  -0.13300  0.12100  -0.03300  -0.02000  -0.01000  0.01200  -0.00100  -0.00700  -0.00100  0.06400  0.00200  0.01500  -0.18300  0.09000  -0.05800  0.15900  -0.00200  0.11400  -0.07000  0.10500  -0.07800  0.06400  -0.03200  0.35800  -0.00000  0.16300  -0.01700  -0.01100  6.28600  1.31652  -0.07736  -2.96421  0.07193  0.56733  -0.25444  -0.39651
2.50000  0.00006  0.85185  0.81510  4.07670  4.15440  0.14900  0.29400  -0.74700  -0.21100  0.57900  -0.22700  -0.00100  -0.01200  0.00700  0.04800  -0.03200  -0.04200  0.00700  -0.02500  -0.01100  -0.04200  0.02200  -0.29200  0.05900  0.00800  -0.02000  -0.00200  0.09300  -0.01300  -0.03900  0.86700  0.76600  -0.50900  0.62400  -0.36500  -1.63200  -0.36600  -0.14400  0.18700  0.13600  0.02800  0.02800  0.19700  0.18100  -0.00400  -0.38600  -0.08100  -0.03500  -0.06800  -0.04600  0.03000  -0.01700  0.00600  -0.01600  0.06200  0.00600  0.06100  -0.23400  -0.00900  -0.19400  -0.10800  0.00600  0.05000  0.04800  -0.03000  0.00300  -0.00100  0.01200  0.01800  0.02600  0.07800  -0.00600  0.03000  -0.01600  -0.01600  -0.00400  -0.03800  -0.01900  0.02700  0.05600  0.00200  -0.04400  -0.01100  0.00500  -0.05700  0.13400  0.21900  -0.09000  -0.07200  -0.31400  -0.26900  0.14700  0.04000  0.10600  -0.06900  -0.09600  -0.12900  0.05100  0.01500  -0.04300  0.09300  -0.04600  -0.41600  0.68300  -0.32800  -0.10500  -0.01200  0.15600  -0.11600  -0.62200  -0.02100  0.00500  -0.02800  0.03400  -0.09600  -0.18500  0.04500  0.03800  0.15100  0.20900  0.06200  -0.00600  -0.00700  0.02800  0.00200  0.00200  0.01600  0.01600  -0.13300  -0.03600  -0.00400  -0.06100  -0.04000  -0.07200  0.15200  -0.10600  -0.04200  -0.05200  0.05900  -0.12500  0.11600  -0.03800  -0.02000  -0.00500  0.01200  -0.00100  -0.01000  0.00200  0.06200  0.00300  0.01500  -0.18800  0.09200  -0.06000  0.16500  -0.00300  0.12000  -0.07600  0.09800  -0.07000  0.06500  -0.03400  0.37100  -0.00000  0.16900  -0.01800  -0.01100  6.51711  2.06600  -0.10305  -7.28377  0.06993  0.68703  -0.33232  -0.81502
2.50000  0.00007  0.75087  0.78026  2.61780  3.02940  0.14900  0.29500  -0.74800  -0.21100  0.58000  -0.22700  0.00000  -0.00900  0.00300  0.03100  -0.03700  -0.03700  0.00400  -0.01900  -0.00400  -0.02300  0.02600  -0.13100  0.02500  0.00700  -0.00700  0.02400  0.01000  0.01000  -0.00100  0.17900  0.15800  -0.12900  0.20100  -0.12200  -0.62000  -0.13900  -0.04600  0.07500  0.05300  -0.00600  -0.00500  0.05400  0.02000  0.03600  -0.11600  -0.05000  0.02200  -0.03000  -0.05000  -0.00200  -0.03000  0.00100  -0.02800  0.01700  0.00600  0.03100  -0.14400  -0.00900  -0.11200  -0.07100  -0.00500  0.02800  0.02100  -0.03000  0.00300  0.00000  0.00400  -0.00700  0.02700  0.06000  -0.00300  0.04300  -0.01000  -0.00300  -0.00400  -0.03600  -0.00200  0.00900  0.02500  -0.00800  -0.03400  -0.00700  0.02300  -0.05300  0.06900  0.14300  -0.03300  -0.03500  -0.14800  -0.11500  0.12400  0.00600  0.04400  0.00500  0.00900  -0.04000  -0.07200  0.00300  -0.02500  0.04700  -0.02200  -0.14700  0.24700  -0.20400  -0.02500  0.05300  -0.05100  0.01800  -0.03400  -0.06500  0.04400  0.06900  0.02000  -0.01000  -0.05900  0.02500  0.01100  0.05100  0.13900  -0.01700  0.00600  -0.01100  0.00100  -0.00200  0.01000  0.01900  0.00400  -0.11600  -0.03100  0.01000  -0.05100  -0.03500  -0.05900  0.12900  -0.07900  -0.03200  -0.06700  0.06200  -0.13100  0.12000  -0.02600  -0.02600  0.00200  0.01200  -0.00100  -0.00800  0.00000  0.06600  0.00200  0.01400  -0.18100  0.08900  -0.05700  0.15800  -0.00200  0.11200  -0.06700  0.11500  -0.08900  0.06400  -0.03100  0.35900  -0.00000  0.16300  -0.01800  -0.01100  4.28941  1.27265  -0.04742  -2.19286  0.06152  0.47164  -0.20416  -0.57351
2.50000  0.00008  0.65095  0.72528  4.27600  3.44900  0.14900  0.29500  -0.74800  -0.21100  0.58000  -0.22700  0.00000  -0.00300  -0.00800  -0.07400  -0.04900  -0.03000  -0.00400  -0.01600  -0.00200  -0.01100  0.02300  -0.08700  0.01500  0.00500  -0.00300  0.02000  0.02200  0.01200  -0.00200  0.01800  0.02300  -0.04600  0.07000  -0.07700  -0.37900  -0.07600  -0.05400  0.05100  0.04700  -0.00500  0.00200  0.08600  0.08400  -0.00300  -0.20300  0.02700  -0.01500  -0.05700  -0.03700  0.04100  -0.00200  0.02700  -0.01200  0.05600  0.00200  0.01200  -0.00300  0.02200  0.03700  -0.00900  0.00500  0.01000  0.03300  -0.03100  -0.02600  -0.01400  -0.00200  0.03500  0.01800  0.06300  0.04100  -0.05800  -0.04000  -0.00800  -0.02200  -0.02300  0.01200  0.06300  -0.04000  0.03900  0.00900  0.03800  -0.06500  -0.01800  -0.01300  -0.10800  -0.10800  -0.00400  -0.02600  0.08200  -0.24500  0.06200  0.07900  -0.03500  0.08400  0.11300  0.25500  0.02300  0.01000  0.19400  -0.06000  -0.48500  0.68700  -0.30500  -0.11300  -0.00600  0.16400  -0.09400  -0.62900  -0.04800  0.00300  0.06100  0.05200  -0.16300  -0.13200  0.04700  0.04200  0.16500  0.25400  0.06400  -0.00300  -0.00700  0.03300  -0.00200  0.00100  0.01600  0.01200  -0.13000  -0.03500  0.00700  -0.06000  -0.03800  -0.06800  0.14600  -0.09700  -0.04200  -0.06800  0.06300  -0.13400  0.12100  -0.03100  -0.02000  -0.01100  0.01200  -0.00100  -0.00500  -0.00200  0.06500  0.00200  0.01400  -0.17800  0.08800  -0.05600  0.15300  -0.00200  0.10900  -0.06500  0.11100  -0.08600  0.06200  -0.03000  0.34600  -0.00000  0.15700  -0.01700  -0.01000  5.79259  0.89207  -0.07032  -1.48494  0.07308  0.50877  -0.21417  -0.27791
3.50000  0.00008  0.85185  0.81942  4.14230  4.04740  0.14900  0.29400  -0.74700  -0.21100  0.57900  -0.22700  -0.00100  -0.00900  -0.00000  -0.04400  -0.04100  -0.03900  0.00500  -0.01600  -0.00200  -0.03600  0.02600  -0.25700  0.05600  0.01000  -0.00800  -0.00200  0.10000  -0.01500  -0.03900  0.96100  0.82200  -0.52400  0.62500  -0.34400  -1.51000  -0.35700  -0.10800  0.16300  0.11000  0.04000  0.02800  0.15500  0.12100  0.00100  -0.32400  -0.15400  -0.00300  -0.04500  -0.05000  -0.00200  -0.03800  -0.00500  -0.03200  0.03000  -0.00400  0.06300  -0.23000  -0.02000  -0.21600  -0.09500  0.01800  0.05700  0.04800  -0.02700  0.01400  0.00900  -0.00200  -0.00800  -0.00100  0.04400  -0.03900  0.08900  0.00200  0.00600  0.01600  -0.04300  -0.01700  -0.01500  0.02100  -0.01900  -0.02800  -0.01900  0.04300  -0.05700  0.07400  0.17100  -0.02200  -0.03800  -0.15800  -0.13600  0.18800  -0.00500  0.03500  0.00400  -0.02300  -0.07700  -0.06600  -0.00000  -0.03400  0.03300  -0.01800  -0.10600  0.20300  -0.23900  -0.01400  0.07200  -0.10100  0.03300  0.05400  -0.06300  0.05400  0.06900  0.01700  0.00300  -0.05200  0.02100  0.00700  0.03600  0.12100  -0.02600  0.00600  -0.01200  -0.00300  -0.00100  0.01000  0.02000  0.00200  -0.11700  -0.03200  0.00400  -0.05100  -0.03700  -0.06200  0.14300  -0.08300  -0.03100  -0.05300  0.05600  -0.12000  0.11100  -0.02600  -0.02700  0.01000  0.01100  -0.00100  -0.01100  0.00200  0.06500  0.00200  0.01400  -0.18100  0.08900  -0.05700  0.15900  -0.00300  0.11300  -0.06700  0.11700  -0.09000  0.06500  -0.03100  0.36200  -0.00000  0.16400  -0.01800  -0.01100  6.36718  1.69998  -0.05492  -5.89563  0.06102  0.53941  -0.22869  -0.47074
3.50000  0.00009  0.75103  0.83846  2.19450  2.85880  0.14900  0.29500  -0.74800  -0.21100  0.58000  -0.22700  0.00000  -0.00500  -0.00200  -0.04600  -0.04500  -0.03300  0.00100  -0.01600  0.00000  -0.01800  0.02500  -0.10300  0.02100  0.00600  -0.00100  0.02200  0.02100  0.01100  -0.00300  0.16300  0.14600  -0.11800  0.15500  -0.10600  -0.51900  -0.12200  -0.04500  0.06300  0.04700  0.00500  -0.00000  0.05400  0.02200  0.03200  -0.07100  0.00900  0.01000  -0.03500  -0.03800  0.01100  -0.00800  0.00900  -0.01100  0.01800  0.00500  0.01800  -0.08200  -0.00100  -0.05100  -0.04800  -0.01600  0.00500  0.00100  -0.03300  -0.00400  -0.00100  0.01600  -0.00600  0.05800  0.07600  0.03500  -0.00300  -0.02700  -0.02100  -0.02300  -0.03300  0.01500  0.04000  0.07800  -0.00400  -0.06900  -0.00500  0.01700  -0.06900  0.14600  0.28000  -0.06000  -0.07500  -0.32200  -0.29800  0.21700  0.02600  0.09000  -0.03100  -0.06200  -0.13500  -0.15100  0.00900  -0.04400  0.03200  -0.02800  -0.25200  0.44300  -0.20900  -0.06100  0.00300  0.08000  -0.05800  -0.33800  -0.03900  0.02000  -0.00200  0.02000  -0.03000  -0.13500  0.03500  0.02300  0.09500  0.16100  0.02000  -0.00100  -0.01000  0.01200  0.00100  0.00700  0.01700  0.01200  -0.12000  -0.03200  0.00800  -0.05600  -0.03400  -0.06200  0.12300  -0.08600  -0.03800  -0.07100  0.06600  -0.13800  0.12600  -0.03300  -0.02200  -0.00700  0.01300  -0.00100  -0.00800  -0.00000  0.06500  0.00300  0.01500  -0.18800  0.09200  -0.06000  0.16500  -0.00300  0.11900  -0.07400  0.10300  -0.07500  0.06600  -0.03300  0.37000  -0.00000  0.16900  -0.01800  -0.01100  3.97873  1.52661  -0.06083  -2.46523  0.06560  0.55936  -0.24866  -0.37946
3.50000  0.00011  0.65132  0.87477  2.00830  2.46910  0.14900  0.29500  -0.74800  -0.21100  0.58000  -0.22700  0.00000  -0.00500  -0.00200  -0.01800  -0.04300  -0.03200  -0.00100  -0.01800  -0.00300  -0.01300  0.02300  -0.07800  0.01300  0.00400  -0.00400  0.02600  0.00500  0.01600  0.00400  -0.04700  -0.02900  -0.01600  0.04400  -0.05700  -0.31800  -0.06500  -0.04200  0.04500  0.04000  -0.00900  -0.00500  0.05400  0.03700  0.02300  -0.09500  0.04500  -0.00000  -0.04400  -0.03600  0.02800  -0.00200  0.01900  -0.00900  0.03500  0.00600  0.01000  -0.03400  0.01100  0.00800  -0.02900  -0.01300  0.00100  0.00900  -0.03300  -0.01600  -0.00900  0.01200  0.01400  0.05100  0.07800  0.04900  -0.04200  -0.03700  -0.02100  -0.02900  -0.02700  0.01600  0.06000  0.03500  0.01800  -0.04100  0.01500  -0.02500  -0.04800  0.08900  0.12500  -0.09000  -0.05000  -0.22100  -0.15900  0.01400  0.04900  0.09700  -0.04200  -0.00700  -0.03500  0.02700  0.01700  -0.02200  0.10800  -0.04600  -0.39400  0.61200  -0.25300  -0.09600  -0.01500  0.15700  -0.09500  -0.56000  -0.03700  0.00500  0.01100  0.03600  -0.09900  -0.15300  0.04300  0.03500  0.14100  0.21400  0.05100  -0.00300  -0.00800  0.02500  -0.00000  0.00400  0.01600  0.01400  -0.12600  -0.03400  0.00700  -0.05900  -0.03500  -0.06500  0.13100  -0.09300  -0.04100  -0.07200  0.06600  -0.13900  0.12600  -0.03300  -0.02000  -0.01200  0.01300  -0.00100  -0.00600  -0.00100  0.06500  0.00200  0.01500  -0.18500  0.09100  -0.05800  0.16000  -0.00200  0.11600  -0.07100  0.10300  -0.07700  0.06400  -0.03200  0.36100  -0.00000  0.16400  -0.01700  -0.01100  3.60331  1.23575  -0.06859  -1.58327  0.06973  0.54529  -0.24292  -0.41206
3.50000  0.00014  0.49092  0.80965  2.52890  2.44970  0.14900  0.29500  -0.74800  -0.21100  0.58000  -0.22700  -0.00300  0.00900  0.00000  0.03500  -0.02600  -0.04800  -0.01800  0.01900  0.01000  0.01400  0.01200  0.04000  -0.02400  -0.02100  0.00200  -0.01100  0.07400  -0.00100  -0.00800  0.16600  0.02800  0.04000  -0.00600  0.11600  0.13800  0.09300  0.06900  -0.03300  -0.03900  -0.12300  -0.12200  -0.29500  -0.27800  0.07900  0.11400  -0.16700  0.17400  0.11100  -0.12800  -0.13200  -0.15200  -0.04000  -0.13500  -0.06900  0.06100  0.04200  -0.35300  0.02600  -0.23000  -0.18200  0.00000  -0.00700  0.04800  -0.02500  -0.02500  -0.00800  0.03200  0.04500  0.00000  0.05500  0.04400  -0.07300  -0.03900  -0.01000  0.00100  -0.01900  0.02400  0.07800  -0.09200  0.06600  0.04200  0.06400  -0.11500  0.00900  -0.07100  -0.27200  -0.14200  0.02200  0.07500  0.21700  -0.43700  0.08300  0.07800  -0.05000  0.11900  0.19800  0.46100  0.03100  0.03000  0.26400  -0.07600  -0.61400  0.84300  -0.36300  -0.14700  -0.01900  0.22700  -0.12900  -0.85300  -0.04500  -0.01000  0.04200  0.06100  -0.21200  -0.15400  0.05700  0.05600  0.21500  0.30700  0.09700  -0.00600  -0.00500  0.04500  -0.00300  -0.00200  0.01400  0.01600  -0.13700  -0.03700  0.00800  -0.06200  -0.03900  -0.07000  0.14800  -0.10300  -0.04600  -0.07400  0.06600  -0.14000  0.12500  -0.03200  -0.01800  -0.01700  0.01200  -0.00200  -0.00300  -0.00400  0.06500  0.00100  0.01400  -0.17600  0.08800  -0.05500  0.15000  -0.00200  0.10700  -0.06400  0.11000  -0.08500  0.06100  -0.03000  0.34000  -0.00000  0.15400  -0.01600  -0.01000  4.19092  0.62496  -0.06793  -0.38412  0.07164  0.51627  -0.22408  -0.26752
5.00000  0.00012  0.85185  0.98048  4.09810  4.00530  0.14900  0.29400  -0.74700  -0.21100  0.57900  -0.22700  -0.00000  -0.01200  0.00900  0.05600  -0.03200  -0.04200  0.00600  -0.01800  -0.00400  -0.03500  0.02300  -0.25300  0.05400  0.00700  -0.01000  -0.00600  0.11300  -0.01600  -0.04200  0.98000  0.84800  -0.54200  0.62300  -0.35200  -1.53400  -0.36200  -0.12100  0.16600  0.11700  0.04900  0.03400  0.17100  0.13900  -0.00200  -0.30000  -0.08800  -0.02200  -0.05400  -0.03900  0.01600  -0.01400  0.00200  -0.01200  0.03700  -0.00200  0.05400  -0.19200  -0.01400  -0.17300  -0.08600  0.00200  0.03500  0.02700  -0.03000  0.00900  0.00700  0.01400  -0.00500  0.04000  0.06900  0.00200  0.04100  -0.01500  -0.01800  -0.00600  -0.04100  -0.00300  0.02000  0.09400  -0.01500  -0.07400  -0.02200  0.04000  -0.07900  0.18300  0.36300  -0.05700  -0.09300  -0.40100  -0.39100  0.32800  0.01900  0.09800  -0.04800  -0.12900  -0.21300  -0.15900  0.00700  -0.06200  0.01200  -0.02700  -0.25300  0.47700  -0.25700  -0.06400  0.00600  0.07400  -0.07100  -0.36300  -0.02600  0.02200  -0.03000  0.01700  -0.02300  -0.15700  0.03500  0.02300  0.09700  0.15200  0.02500  -0.00300  -0.00900  0.01200  0.00200  0.00600  0.01800  0.01300  -0.12400  -0.03400  -0.00000  -0.05700  -0.03700  -0.06600  0.13700  -0.09500  -0.03800  -0.05600  0.06100  -0.12800  0.11800  -0.03600  -0.02300  -0.00200  0.01200  -0.00100  -0.01000  0.00200  0.06300  0.00300  0.01500  -0.19100  0.09300  -0.06100  0.16800  -0.00300  0.12200  -0.07700  0.09900  -0.07000  0.06700  -0.03400  0.37800  -0.00000  0.17200  -0.01800  -0.01200  6.40181  2.15405  -0.07955  -6.91702  0.06527  0.67110  -0.30385  -0.56826
